"","NA06993"
"SNP_A-1704842",1.59
"SNP_A-1708719",2.03
"SNP_A-1657030",2
"SNP_A-1660642",2.13
"SNP_A-1645605",2.22
"SNP_A-1672392",2.46
"SNP_A-1654368",1.97
"SNP_A-1694333",1.6
"SNP_A-1742581",2.2
"SNP_A-1752519",2.07
"SNP_A-1748027",1.92
"SNP_A-1683190",2.12
"SNP_A-1685002",2.16
"SNP_A-1708626",1.78
"SNP_A-1718011",1.88
"SNP_A-1745704",3
"SNP_A-1716921",2.53
"SNP_A-1698325",2.8
"SNP_A-1682546",2.47
"SNP_A-1650137",1.93
"SNP_A-1651659",1.62
"SNP_A-1715681",1.57
"SNP_A-1687952",2.6
"SNP_A-1700323",2.4
"SNP_A-1725593",1.92
"SNP_A-1725701",2.31
"SNP_A-1725843",1.79
"SNP_A-1673914",2.33
"SNP_A-1650152",2.8
"SNP_A-1661817",2.17
"SNP_A-1725660",2.47
"SNP_A-1716585",3.15
"SNP_A-1749789",1.68
"SNP_A-1719137",2.93
"SNP_A-1669427",2.32
"SNP_A-1728660",3.08
"SNP_A-1664506",2.35
"SNP_A-1718737",2.22
"SNP_A-1652347",2.48
"SNP_A-1652463",1.9
"SNP_A-1653725",2.31
"SNP_A-1664239",2.25
"SNP_A-1666455",1.45
"SNP_A-1749613",2.14
"SNP_A-1642444",1.69
"SNP_A-1642542",1.8
"SNP_A-1642656",1.83
"SNP_A-1752697",2
"SNP_A-1688510",1.65
"SNP_A-1726416",1.45
"SNP_A-1683866",1.44
"SNP_A-1691548",1.53
"SNP_A-1659418",2.04
"SNP_A-1654655",1.9
"SNP_A-1755797",2.48
"SNP_A-1649428",1.83
"SNP_A-1647051",1.88
"SNP_A-1649295",2.09
"SNP_A-1685480",2.13
"SNP_A-1744636",2.62
"SNP_A-1746155",2.04
"SNP_A-1746289",1.62
"SNP_A-1746401",1.89
"SNP_A-1746744",2.45
"SNP_A-1658718",2.21
"SNP_A-1731267",1.66
"SNP_A-1720485",1.75
"SNP_A-1752275",2.21
"SNP_A-1734472",3.07
"SNP_A-1670867",2.13
"SNP_A-1680622",1.75
"SNP_A-1706427",1.71
"SNP_A-1668707",2.47
"SNP_A-1697949",1.82
"SNP_A-1701512",1.44
"SNP_A-1706892",1.62
"SNP_A-1650936",2.31
"SNP_A-1687422",2.14
"SNP_A-1643142",1.96
"SNP_A-1643368",2.46
"SNP_A-1647127",1.89
"SNP_A-1734956",2.57
"SNP_A-1697564",2
"SNP_A-1698994",2.41
"SNP_A-1642179",2.25
"SNP_A-1702696",1.69
"SNP_A-1676672",1.92
"SNP_A-1691445",1.76
"SNP_A-1692763",1.88
"SNP_A-1721209",2.33
"SNP_A-1700773",1.68
"SNP_A-1659892",2.08
"SNP_A-1741713",2.12
"SNP_A-1664792",1.63
"SNP_A-1750552",3.15
"SNP_A-1756369",2.16
"SNP_A-1678868",1.89
"SNP_A-1667144",1.85
"SNP_A-1680197",2.44
"SNP_A-1705319",1.64
"SNP_A-1644948",1.7
"SNP_A-1688495",2.39
"SNP_A-1688653",1.43
"SNP_A-1708349",1.58
"SNP_A-1708465",2.41
"SNP_A-1708684",2.08
"SNP_A-1706449",2.06
"SNP_A-1652276",2
"SNP_A-1645027",1.75
"SNP_A-1652047",1.64
"SNP_A-1652155",1.65
"SNP_A-1700823",1.54
"SNP_A-1702685",2.48
"SNP_A-1663792",2.25
"SNP_A-1711145",2.22
"SNP_A-1658436",2.42
"SNP_A-1722362",1.8
"SNP_A-1681890",2.19
"SNP_A-1646408",1.39
"SNP_A-1649469",2.38
"SNP_A-1652857",1.88
"SNP_A-1694376",1.48
"SNP_A-1694520",1.29
"SNP_A-1694692",1.72
"SNP_A-1696355",1.81
"SNP_A-1703542",2.99
"SNP_A-1705668",1.93
"SNP_A-1651344",2.09
"SNP_A-1750972",2.15
"SNP_A-1752550",2.18
"SNP_A-1734986",2
"SNP_A-1699558",1.54
"SNP_A-1699732",1.89
"SNP_A-1678044",2.5
"SNP_A-1676028",1.42
"SNP_A-1643463",1.48
"SNP_A-1732163",2.19
"SNP_A-1737231",2.62
"SNP_A-1744969",1.75
"SNP_A-1719925",2.66
"SNP_A-1728649",1.28
"SNP_A-1687062",2.65
"SNP_A-1744166",2.54
"SNP_A-1661363",2.26
"SNP_A-1685856",1.82
"SNP_A-1688210",2.5
"SNP_A-1656657",2.49
"SNP_A-1643113",2.67
"SNP_A-1675165",1.5
"SNP_A-1668325",1.97
"SNP_A-1668451",2.12
"SNP_A-1708513",2.14
"SNP_A-1719737",2.54
"SNP_A-1711859",1.68
"SNP_A-1712042",1.4
"SNP_A-1745438",2.46
"SNP_A-1684034",1.97
"SNP_A-1713729",2.18
"SNP_A-1687544",1.7
"SNP_A-1664146",1.71
"SNP_A-1669149",2.22
"SNP_A-1686862",2.35
"SNP_A-1719490",2.13
"SNP_A-1755998",1.68
"SNP_A-1694201",2.48
"SNP_A-1738186",1.56
"SNP_A-1653931",2.07
"SNP_A-1698962",1.99
"SNP_A-1699066",2.21
"SNP_A-1701010",1.64
"SNP_A-1701112",1.74
"SNP_A-1711495",1.7
"SNP_A-1748753",1.14
"SNP_A-1752245",2.43
"SNP_A-1695923",1.46
"SNP_A-1729570",2.03
"SNP_A-1648111",2.03
"SNP_A-1649907",1.89
"SNP_A-1750514",1.54
"SNP_A-1692411",1.81
"SNP_A-1730977",2.12
"SNP_A-1687449",1.83
"SNP_A-1687237",2.68
"SNP_A-1684015",2.57
"SNP_A-1684109",2.15
"SNP_A-1704101",2.36
"SNP_A-1689523",2.15
"SNP_A-1662896",2.66
"SNP_A-1709371",2.17
"SNP_A-1668589",2.29
"SNP_A-1656538",2.41
"SNP_A-1658143",1.89
"SNP_A-1746809",2
"SNP_A-1730971",5.02
"SNP_A-1746967",1.69
"SNP_A-1648386",1.59
"SNP_A-1672630",2.48
"SNP_A-1750441",1.79
"SNP_A-1660339",1
"SNP_A-1701244",2.72
"SNP_A-1731656",2.11
"SNP_A-1654623",1.07
"SNP_A-1748213",1.68
"SNP_A-1717095",2.42
"SNP_A-1754563",2.11
"SNP_A-1658150",1.68
"SNP_A-1746404",1.62
"SNP_A-1677468",2.49
"SNP_A-1751817",2.07
"SNP_A-1650050",2.36
"SNP_A-1650693",2.1
"SNP_A-1650807",2.12
"SNP_A-1651029",2.04
"SNP_A-1694212",1.7
"SNP_A-1663030",1.77
"SNP_A-1675107",2.4
"SNP_A-1750416",2.15
"SNP_A-1644672",2
"SNP_A-1716390",2.48
"SNP_A-1722453",1.7
"SNP_A-1721307",1.62
"SNP_A-1669369",2.09
"SNP_A-1724133",1.85
"SNP_A-1648340",1.38
"SNP_A-1745242",1.75
"SNP_A-1752489",1.62
"SNP_A-1751095",2.31
"SNP_A-1654652",1.78
"SNP_A-1656508",1.41
"SNP_A-1701730",1.86
"SNP_A-1701880",1.86
"SNP_A-1701980",1.94
"SNP_A-1746661",1.51
"SNP_A-1709056",1.72
"SNP_A-1712330",1.88
"SNP_A-1683084",1.64
"SNP_A-1692468",2.02
"SNP_A-1718150",1.79
"SNP_A-1641796",2.08
"SNP_A-1641908",1.77
"SNP_A-1643576",2.45
"SNP_A-1652733",2.12
"SNP_A-1652989",1.75
"SNP_A-1647228",2.58
"SNP_A-1510136",2.74
"SNP_A-1664846",2.85
"SNP_A-1667280",1.32
"SNP_A-1744869",1.42
"SNP_A-1670301",1.32
"SNP_A-1739665",1.44
"SNP_A-1757416",1.75
"SNP_A-1718293",2.88
"SNP_A-1668422",2.27
"SNP_A-1744653",2.15
"SNP_A-1756597",1.94
"SNP_A-1686186",1.67
"SNP_A-1702320",2.08
"SNP_A-1738298",2.49
"SNP_A-1720557",1.67
"SNP_A-1713104",2.02
"SNP_A-1655989",1.64
"SNP_A-1691706",2
"SNP_A-1701668",2
"SNP_A-1757622",1.85
"SNP_A-1642948",2.38
"SNP_A-1691743",2.47
"SNP_A-1673515",2.76
"SNP_A-1673673",2.02
"SNP_A-1739531",3.25
"SNP_A-1685947",2.58
"SNP_A-1725168",1.61
"SNP_A-1716383",3.06
"SNP_A-1758833",1.29
"SNP_A-1706430",2.08
"SNP_A-1748154",1.71
"SNP_A-1673680",1.96
"SNP_A-1718035",2.14
"SNP_A-1645915",1.37
"SNP_A-1689417",1.73
"SNP_A-1689589",2.08
"SNP_A-1694964",1.78
"SNP_A-1695168",1.71
"SNP_A-1695312",1.65
"SNP_A-1671642",2
"SNP_A-1660965",1.82
"SNP_A-1655095",3.35
"SNP_A-1682263",1.99
"SNP_A-1683513",1.65
"SNP_A-1683643",2.22
"SNP_A-1747990",1.47
"SNP_A-1671040",1.92
"SNP_A-1675907",1.94
"SNP_A-1712753",1.54
"SNP_A-1718143",1.78
"SNP_A-1658008",1.45
"SNP_A-1694177",1.4
"SNP_A-1660417",1.98
"SNP_A-1698983",1.7
"SNP_A-1752561",2.13
"SNP_A-1716747",2.93
"SNP_A-1734214",2.67
"SNP_A-1722120",2.28
"SNP_A-1671755",2.61
"SNP_A-1673173",2.04
"SNP_A-1686244",2.05
"SNP_A-1722672",2.53
"SNP_A-1754782",2.11
"SNP_A-1675336",1.98
"SNP_A-1712781",2.54
"SNP_A-1678568",1.93
"SNP_A-1689888",1.89
"SNP_A-1690040",1.79
"SNP_A-1724120",2.51
"SNP_A-1691837",1.95
"SNP_A-1713330",2.44
"SNP_A-1732818",1.81
"SNP_A-1742442",1.76
"SNP_A-1719083",1.65
"SNP_A-1703025",1.87
"SNP_A-1757123",1.71
"SNP_A-1651370",2.78
"SNP_A-1728265",1.91
"SNP_A-1734617",2.39
"SNP_A-1734849",2.21
"SNP_A-1735001",2.03
"SNP_A-1735117",1.33
"SNP_A-1738536",2.34
"SNP_A-1738654",2.52
"SNP_A-1720819",2.38
"SNP_A-1667497",1.99
"SNP_A-1650816",1.03
"SNP_A-1720877",1.8
"SNP_A-1676619",1.49
"SNP_A-1695361",1.6
"SNP_A-1658546",2.15
"SNP_A-1696252",2.12
"SNP_A-1680305",2.23
"SNP_A-1734441",2.03
"SNP_A-1734677",2.71
"SNP_A-1705271",2.16
"SNP_A-1734456",2.41
"SNP_A-1669042",1.87
"SNP_A-1670409",1.78
"SNP_A-1672459",2.46
"SNP_A-1672587",2.47
"SNP_A-1672747",2.41
"SNP_A-1684091",1.92
"SNP_A-1664162",1.9
"SNP_A-1689393",1.38
"SNP_A-1689485",1.54
"SNP_A-1689684",1.92
"SNP_A-1676984",1.69
"SNP_A-1696433",1.58
"SNP_A-1711094",3
"SNP_A-1682818",1.85
"SNP_A-1662484",1.81
"SNP_A-1742157",2.17
"SNP_A-1741740",1.76
"SNP_A-1741932",1.2
"SNP_A-1693238",1.74
"SNP_A-1681617",1.82
"SNP_A-1683070",1.98
"SNP_A-1662042",1.92
"SNP_A-1727624",1.92
"SNP_A-1727712",1.61
"SNP_A-1709499",1.79
"SNP_A-1737869",1.61
"SNP_A-1741091",1.63
"SNP_A-1723421",2
"SNP_A-1662365",1.57
"SNP_A-1712907",1.29
"SNP_A-1728151",1.35
"SNP_A-1647542",2.19
"SNP_A-1703001",1.73
"SNP_A-1710229",3.13
"SNP_A-1715447",2.64
"SNP_A-1661834",2.72
"SNP_A-1706119",1.96
"SNP_A-1674048",2.56
"SNP_A-1717523",1.62
"SNP_A-1681003",1.84
"SNP_A-1695939",2.1
"SNP_A-1753827",1.9
"SNP_A-1690078",1.24
"SNP_A-1730999",2.43
"SNP_A-1694203",1.96
"SNP_A-1728231",2.62
"SNP_A-1738964",1.81
"SNP_A-1740458",1.38
"SNP_A-1742186",1.77
"SNP_A-1671491",1.68
"SNP_A-1721992",1.79
"SNP_A-1709704",2.01
"SNP_A-1716898",2.45
"SNP_A-1655032",0.98
"SNP_A-1743047",2.24
"SNP_A-1662100",1.72
"SNP_A-1739157",1.82
"SNP_A-1716727",1.95
"SNP_A-1651558",1.8
"SNP_A-1740213",1.56
"SNP_A-1720814",1.76
"SNP_A-1727688",1.78
"SNP_A-1666690",2.47
"SNP_A-1707147",2.32
"SNP_A-1657635",1.58
"SNP_A-1651286",1.24
"SNP_A-1666786",1.72
"SNP_A-1694649",2.77
"SNP_A-1735404",2.31
"SNP_A-1731317",1.81
"SNP_A-1642528",1.94
"SNP_A-1648081",1.86
"SNP_A-1723454",1.56
"SNP_A-1655487",1.61
"SNP_A-1726320",1.61
"SNP_A-1652192",1.45
"SNP_A-1740137",1.86
"SNP_A-1680706",2.05
"SNP_A-1737661",1.75
"SNP_A-1693825",2.7
"SNP_A-1709361",1.63
"SNP_A-1661892",1.99
"SNP_A-1690980",2.16
"SNP_A-1667931",1.64
"SNP_A-1742807",2.52
"SNP_A-1678423",2.01
"SNP_A-1717358",2.04
"SNP_A-1661566",2.93
"SNP_A-1729749",1.85
"SNP_A-1663736",2.31
"SNP_A-1708274",1.67
"SNP_A-1722260",1.88
"SNP_A-1662208",1.17
"SNP_A-1690563",1.65
"SNP_A-1674547",1.75
"SNP_A-1657141",2.35
"SNP_A-1741605",1.81
"SNP_A-1736105",2.46
"SNP_A-1720575",2.12
"SNP_A-1722824",1.97
"SNP_A-1724392",2.05
"SNP_A-1687014",2.38
"SNP_A-1715399",1.89
"SNP_A-1689226",2.01
"SNP_A-1669633",1.8
"SNP_A-1736003",2.26
"SNP_A-1683892",1.77
"SNP_A-1694481",2.19
"SNP_A-1717693",1.69
"SNP_A-1677266",1.43
"SNP_A-1646516",1.73
"SNP_A-1697905",1.34
"SNP_A-1655843",2.73
"SNP_A-1647885",2.1
"SNP_A-1647999",2.17
"SNP_A-1648337",2.2
"SNP_A-1651889",2.19
"SNP_A-1725394",2.08
"SNP_A-1693426",2.25
"SNP_A-1700282",2.45
"SNP_A-1681862",1.59
"SNP_A-1702034",2.05
"SNP_A-1702154",2.35
"SNP_A-1709418",2.08
"SNP_A-1666796",1.82
"SNP_A-1713953",1.37
"SNP_A-1719610",1.77
"SNP_A-1694317",1.56
"SNP_A-1747701",2.13
"SNP_A-1643443",2.59
"SNP_A-1705897",2.62
"SNP_A-1678992",2.45
"SNP_A-1686546",2.03
"SNP_A-1713300",1.46
"SNP_A-1701209",1.98
"SNP_A-1674663",2.28
"SNP_A-1643913",2.13
"SNP_A-1644021",2.02
"SNP_A-1646113",2.53
"SNP_A-1649383",1.84
"SNP_A-1649727",1.74
"SNP_A-1650530",1.78
"SNP_A-1705260",1.76
"SNP_A-1708826",1.68
"SNP_A-1736715",2.19
"SNP_A-1709022",1.95
"SNP_A-1672050",2.47
"SNP_A-1688018",3.59
"SNP_A-1711010",1.8
"SNP_A-1645219",2.07
"SNP_A-1697575",2.4
"SNP_A-1644868",1.82
"SNP_A-1740829",1.93
"SNP_A-1690915",2.55
"SNP_A-1692163",2.02
"SNP_A-1692387",1.69
"SNP_A-1750398",1.48
"SNP_A-1729814",2.39
"SNP_A-1642858",1.74
"SNP_A-1740649",1.94
"SNP_A-1657872",3.07
"SNP_A-1697466",1.88
"SNP_A-1646700",2.19
"SNP_A-1757453",1.77
"SNP_A-1714521",2.51
"SNP_A-1752753",1.32
"SNP_A-1686893",2.38
"SNP_A-1741145",3.47
"SNP_A-1691258",2.64
"SNP_A-1740449",2.07
"SNP_A-1732756",2.16
"SNP_A-1749416",1.83
"SNP_A-1750878",1.99
"SNP_A-1656511",2.66
"SNP_A-1664736",1.95
"SNP_A-1665001",1.6
"SNP_A-1665185",1.69
"SNP_A-1647211",1.99
"SNP_A-1731891",1.87
"SNP_A-1702053",3.03
"SNP_A-1733366",2.41
"SNP_A-1653198",1.62
"SNP_A-1739797",2.72
"SNP_A-1747179",2.59
"SNP_A-1755155",2.15
"SNP_A-1756632",1.73
"SNP_A-1742485",1.59
"SNP_A-1676698",2.26
"SNP_A-1649909",2.81
"SNP_A-1724562",2.15
"SNP_A-1663404",2.27
"SNP_A-1683554",2.05
"SNP_A-1750518",2.18
"SNP_A-1756019",2.15
"SNP_A-1686062",2.13
"SNP_A-1647366",2.42
"SNP_A-1642867",2.22
"SNP_A-1642423",2.17
"SNP_A-1692221",2.27
"SNP_A-1663116",1.79
"SNP_A-1741074",1.47
"SNP_A-1742514",2.02
"SNP_A-1747559",1.25
"SNP_A-1671949",2.19
"SNP_A-1672127",1.92
"SNP_A-1672231",2.11
"SNP_A-1672407",2.29
"SNP_A-1672531",1.63
"SNP_A-1672793",2.2
"SNP_A-1694591",2.45
"SNP_A-1728371",2.66
"SNP_A-1677442",2.42
"SNP_A-1654673",1.91
"SNP_A-1686195",1.58
"SNP_A-1649548",2.32
"SNP_A-1686727",2.46
"SNP_A-1686845",1.29
"SNP_A-1659174",2.19
"SNP_A-1718701",1.89
"SNP_A-1669887",2.33
"SNP_A-1643766",4.77
"SNP_A-1708101",1.79
"SNP_A-1708201",1.88
"SNP_A-1709922",2.05
"SNP_A-1748677",1.33
"SNP_A-1691614",1.9
"SNP_A-1711621",2.67
"SNP_A-1715452",2.14
"SNP_A-1716726",2.06
"SNP_A-1754961",1.61
"SNP_A-1755525",1.7
"SNP_A-1681888",2.21
"SNP_A-1743309",1.78
"SNP_A-1758826",2.53
"SNP_A-1725124",1.26
"SNP_A-1731301",1.75
"SNP_A-1713818",2.13
"SNP_A-1696953",2.45
"SNP_A-1697139",1.99
"SNP_A-1698974",1.7
"SNP_A-1716611",3.1
"SNP_A-1747474",2.12
"SNP_A-1749162",2
"SNP_A-1706921",2.52
"SNP_A-1706979",2.08
"SNP_A-1742902",2.18
"SNP_A-1746798",1.84
"SNP_A-1679691",2.81
"SNP_A-1691779",2.26
"SNP_A-1701685",1.72
"SNP_A-1682444",1.01
"SNP_A-1680263",2.29
"SNP_A-1680425",2.26
"SNP_A-1682317",1.62
"SNP_A-1729757",2.05
"SNP_A-1747495",1.65
"SNP_A-1735059",1.88
"SNP_A-1655528",1.89
"SNP_A-1662331",2.05
"SNP_A-1662451",2.25
"SNP_A-1662553",2.3
"SNP_A-1704148",1.86
"SNP_A-1704336",1.46
"SNP_A-1672052",2.3
"SNP_A-1709572",2
"SNP_A-1711753",1.48
"SNP_A-1701889",1.85
"SNP_A-1644509",2.86
"SNP_A-1715043",1.48
"SNP_A-1688538",1.77
"SNP_A-1693087",2.49
"SNP_A-1694656",1.46
"SNP_A-1694778",1.75
"SNP_A-1675037",1.26
"SNP_A-1700176",2.18
"SNP_A-1748783",1.68
"SNP_A-1748339",1.84
"SNP_A-1701970",1.74
"SNP_A-1702086",2.19
"SNP_A-1704074",1.49
"SNP_A-1707486",1.53
"SNP_A-1707783",1.56
"SNP_A-1751218",1.65
"SNP_A-1680224",1.69
"SNP_A-1642270",1.82
"SNP_A-1642372",1.85
"SNP_A-1694388",2.53
"SNP_A-1699027",1.33
"SNP_A-1750509",1.94
"SNP_A-1737273",2.02
"SNP_A-1729023",1.99
"SNP_A-1729790",2.13
"SNP_A-1725488",1.04
"SNP_A-1756863",1.77
"SNP_A-1752613",2.1
"SNP_A-1663750",1.58
"SNP_A-1661864",2.81
"SNP_A-1747589",2.66
"SNP_A-1682468",2.13
"SNP_A-1749609",2.08
"SNP_A-1736455",1.34
"SNP_A-1644606",2.65
"SNP_A-1744283",2.77
"SNP_A-1644054",1.83
"SNP_A-1692786",1.67
"SNP_A-1712230",1.24
"SNP_A-1665332",1.9
"SNP_A-1700602",1.85
"SNP_A-1755319",1.61
"SNP_A-1652430",1.31
"SNP_A-1692585",2.5
"SNP_A-1748182",1.98
"SNP_A-1748420",2.4
"SNP_A-1700787",1.89
"SNP_A-1705023",2.75
"SNP_A-1696816",2.28
"SNP_A-1648848",1.59
"SNP_A-1737188",2.32
"SNP_A-1757887",2.56
"SNP_A-1677810",2.46
"SNP_A-1728147",2.54
"SNP_A-1682124",2.48
"SNP_A-1678651",1.68
"SNP_A-1724155",1.61
"SNP_A-1724271",1.89
"SNP_A-1724445",1.8
"SNP_A-1724785",2
"SNP_A-1726185",1.59
"SNP_A-1726481",1.27
"SNP_A-1728004",3.55
"SNP_A-1728172",2.28
"SNP_A-1735221",1.94
"SNP_A-1669645",1.77
"SNP_A-1701092",1.93
"SNP_A-1667278",1.69
"SNP_A-1718573",1.34
"SNP_A-1742778",2.37
"SNP_A-1742870",2.17
"SNP_A-1756437",1.69
"SNP_A-1755433",2.05
"SNP_A-1646056",1.51
"SNP_A-1744813",1.77
"SNP_A-1750685",2.64
"SNP_A-1716817",2.14
"SNP_A-1689908",2.26
"SNP_A-1691561",1.91
"SNP_A-1695012",2.85
"SNP_A-1675617",2.28
"SNP_A-1680407",1.89
"SNP_A-1747737",2.49
"SNP_A-1689438",2.37
"SNP_A-1691888",2.44
"SNP_A-1725474",2.6
"SNP_A-1676938",1.39
"SNP_A-1641893",1.42
"SNP_A-1673316",1.75
"SNP_A-1665789",1.48
"SNP_A-1711116",1.66
"SNP_A-1671061",1.91
"SNP_A-1730388",1.89
"SNP_A-1679290",1.9
"SNP_A-1668148",1.76
"SNP_A-1687756",1.71
"SNP_A-1670280",1.71
"SNP_A-1671861",2.11
"SNP_A-1714529",1.78
"SNP_A-1678618",1.86
"SNP_A-1696603",1.76
"SNP_A-1643974",2.42
"SNP_A-1664668",1.9
"SNP_A-1738820",2.08
"SNP_A-1741684",2.65
"SNP_A-1690554",2.28
"SNP_A-1666132",1.84
"SNP_A-1751775",2
"SNP_A-1741186",1.46
"SNP_A-1744292",1.77
"SNP_A-1656707",2.02
"SNP_A-1716579",2.2
"SNP_A-1718117",2.11
"SNP_A-1756473",2.13
"SNP_A-1693138",2.4
"SNP_A-1713334",2.38
"SNP_A-1641949",2.32
"SNP_A-1663066",2.31
"SNP_A-1719331",4.09
"SNP_A-1716987",2.33
"SNP_A-1687088",1.61
"SNP_A-1665946",1.89
"SNP_A-1714739",2.48
"SNP_A-1753121",2.08
"SNP_A-1724914",2.93
"SNP_A-1669533",2.21
"SNP_A-1716490",1.86
"SNP_A-1684786",2.12
"SNP_A-1759052",2.06
"SNP_A-1656502",2.29
"SNP_A-1706571",2.76
"SNP_A-1661699",2.12
"SNP_A-1661855",2.13
"SNP_A-1708020",3.01
"SNP_A-1666799",1.88
"SNP_A-1667055",1.92
"SNP_A-1757727",2.26
"SNP_A-1680360",3.62
"SNP_A-1713940",1.78
"SNP_A-1728163",2.27
"SNP_A-1751359",2.31
"SNP_A-1747855",2.56
"SNP_A-1728279",1.83
"SNP_A-1660827",1.96
"SNP_A-1756435",1.85
"SNP_A-1691058",2.13
"SNP_A-1711150",2.34
"SNP_A-1706225",1.91
"SNP_A-1714212",2.92
"SNP_A-1688288",1.62
"SNP_A-1688216",1.25
"SNP_A-1736925",3.18
"SNP_A-1732596",1.44
"SNP_A-1688208",1.98
"SNP_A-1676680",1.72
"SNP_A-1650544",2.41
"SNP_A-1731282",2.05
"SNP_A-1731372",1.86
"SNP_A-1734913",1.37
"SNP_A-1739862",1.99
"SNP_A-1743280",2.32
"SNP_A-1737818",1.63
"SNP_A-1676614",2.01
"SNP_A-1667408",1.51
"SNP_A-1728711",1.36
"SNP_A-1722121",2.53
"SNP_A-1722307",2.5
"SNP_A-1698623",1.16
"SNP_A-1666319",1.43
"SNP_A-1742875",2.27
"SNP_A-1736421",1.45
"SNP_A-1713952",2.17
"SNP_A-1647742",2.37
"SNP_A-1724761",1.58
"SNP_A-1735576",1.35
"SNP_A-1652035",3.52
"SNP_A-1655472",2.23
"SNP_A-1655614",2.1
"SNP_A-1655814",2.07
"SNP_A-1700608",1.86
"SNP_A-1700708",2.14
"SNP_A-1757191",1.78
"SNP_A-1725390",1.74
"SNP_A-1665726",1.92
"SNP_A-1684558",2.25
"SNP_A-1753059",1.83
"SNP_A-1716748",2.75
"SNP_A-1716860",2.17
"SNP_A-1718228",2.02
"SNP_A-1718346",2.13
"SNP_A-1718464",1.97
"SNP_A-1718936",2.73
"SNP_A-1720538",1.43
"SNP_A-1720890",2.15
"SNP_A-1647961",2.24
"SNP_A-1648419",1.62
"SNP_A-1734648",1.48
"SNP_A-1726832",1.82
"SNP_A-1714703",1.56
"SNP_A-1651736",2.61
"SNP_A-1736779",2.74
"SNP_A-1665712",2.52
"SNP_A-1729058",1.5
"SNP_A-1730436",1.69
"SNP_A-1650146",2.34
"SNP_A-1700017",3.82
"SNP_A-1739625",2.45
"SNP_A-1693134",2.42
"SNP_A-1725668",2.15
"SNP_A-1688390",1.91
"SNP_A-1678657",2.48
"SNP_A-1723037",1.85
"SNP_A-1731542",1.76
"SNP_A-1732983",2.39
"SNP_A-1659051",1.54
"SNP_A-1682054",1.97
"SNP_A-1666940",1.19
"SNP_A-1697312",1.67
"SNP_A-1682348",2.22
"SNP_A-1734714",1.72
"SNP_A-1657335",1.56
"SNP_A-1668272",1.62
"SNP_A-1711962",2.06
"SNP_A-1680370",2.06
"SNP_A-1660617",1.85
"SNP_A-1710405",1.93
"SNP_A-1653805",1.62
"SNP_A-1642063",2.85
"SNP_A-1700479",1.68
"SNP_A-1700962",1.85
"SNP_A-1702224",2.12
"SNP_A-1707664",1.47
"SNP_A-1723973",1.85
"SNP_A-1724061",1.81
"SNP_A-1724481",1.61
"SNP_A-1704943",2.24
"SNP_A-1732914",1.57
"SNP_A-1703883",1.61
"SNP_A-1650858",1.95
"SNP_A-1647656",2.11
"SNP_A-1660152",2.11
"SNP_A-1738533",3.43
"SNP_A-1670613",2.02
"SNP_A-1724324",1.52
"SNP_A-1725275",1.39
"SNP_A-1725497",1.25
"SNP_A-1727494",2.24
"SNP_A-1672090",2.18
"SNP_A-1734876",2.3
"SNP_A-1751485",2.14
"SNP_A-1717899",2.25
"SNP_A-1659938",1.68
"SNP_A-1663277",2.02
"SNP_A-1714867",2.99
"SNP_A-1682016",2.09
"SNP_A-1713857",1.95
"SNP_A-1713965",2.12
"SNP_A-1645243",2.32
"SNP_A-1646709",2.13
"SNP_A-1650369",1.87
"SNP_A-1715855",1.39
"SNP_A-1702466",1.96
"SNP_A-1702658",2.15
"SNP_A-1745722",1.43
"SNP_A-1739971",1.61
"SNP_A-1685866",3.55
"SNP_A-1714146",2.44
"SNP_A-1651316",2.41
"SNP_A-1663616",2.04
"SNP_A-1674363",1.7
"SNP_A-1647270",1.98
"SNP_A-1752982",1.46
"SNP_A-1753328",1.69
"SNP_A-1668326",2.23
"SNP_A-1650800",1.71
"SNP_A-1651349",1.55
"SNP_A-1693291",1.59
"SNP_A-1756100",1.81
"SNP_A-1750617",2.78
"SNP_A-1659840",2.24
"SNP_A-1738573",1.19
"SNP_A-1696894",2.64
"SNP_A-1714955",3.46
"SNP_A-1719679",2.13
"SNP_A-1684028",1.3
"SNP_A-1704599",2.28
"SNP_A-1645101",2.11
"SNP_A-1717288",1.73
"SNP_A-1718858",1.3
"SNP_A-1723059",2.07
"SNP_A-1724355",2.18
"SNP_A-1653587",1.83
"SNP_A-1653721",1.86
"SNP_A-1740891",1.54
"SNP_A-1659452",2.86
"SNP_A-1669121",2.78
"SNP_A-1711337",1.41
"SNP_A-1714570",2.17
"SNP_A-1714680",2.39
"SNP_A-1696620",2.04
"SNP_A-1747989",1.81
"SNP_A-1746805",3.3
"SNP_A-1654698",1.91
"SNP_A-1723730",2.07
"SNP_A-1702381",1.7
"SNP_A-1646555",1.9
"SNP_A-1647047",1.88
"SNP_A-1706033",1.93
"SNP_A-1722320",1.69
"SNP_A-1685849",2.5
"SNP_A-1685993",2.4
"SNP_A-1752871",1.9
"SNP_A-1691317",1.99
"SNP_A-1708910",2.02
"SNP_A-1709190",2.18
"SNP_A-1716190",1.88
"SNP_A-1682718",1.91
"SNP_A-1682430",1.58
"SNP_A-1649223",1.28
"SNP_A-1652523",2.61
"SNP_A-1652699",2.1
"SNP_A-1659495",2.81
"SNP_A-1731043",2.23
"SNP_A-1678800",1.73
"SNP_A-1703148",1.8
"SNP_A-1668114",2.41
"SNP_A-1750109",1.61
